title,published_at,domain,url,votes,timestamp_logged
"Cantor Fitzgerald to build $3B Bitcoin venture in partnership with SoftBank, Tether, and Bitfinex",2025-04-23T00:28:20Z,cryptobriefing.com,https://cryptopanic.com/news/21251713/Cantor-Fitzgerald-to-build-3B-Bitcoin-venture-in-partnership-with-SoftBank-Tether-and-Bitfinex?mtm_campaign=API-OFA,0,2025-04-23T00:48:06.215289
Zora Token Launches Amid U.S.–China Tariff Speculations,2025-04-23T00:21:42Z,coincu.com,https://cryptopanic.com/news/21251706/Zora-Token-Launches-Amid-USChina-Tariff-Speculations?mtm_campaign=API-OFA,0,2025-04-23T00:48:06.215289
"DeFi lending protocols gain $2.3B in TVL, fueling token outperformance",2025-04-23T00:15:45Z,cryptoslate.com,https://cryptopanic.com/news/21251680/DeFi-lending-protocols-gain-23B-in-TVL-fueling-token-outperformance?mtm_campaign=API-OFA,0,2025-04-23T00:48:06.215289
"Australian court rules in favor of crypto lender, dismissing ASIC’s appeal",2025-04-23T00:15:17Z,cryptopolitan.com,https://cryptopanic.com/news/21251682/Australian-court-rules-in-favor-of-crypto-lender-dismissing-ASICs-appeal?mtm_campaign=API-OFA,0,2025-04-23T00:48:06.215289
Solana DEX Meteora Sued Over Alleged Pump-and-Dump Meme Coin Launch,2025-04-23T00:04:23Z,decrypt.co,https://cryptopanic.com/news/21251354/Solana-DEX-Meteora-Sued-Over-Alleged-Pump-and-Dump-Meme-Coin-Launch?mtm_campaign=API-OFA,0,2025-04-23T00:48:06.215289
"XRP: Another Battle Incoming, Bitcoin's (BTC) Next Stop Is $94,000, Solana (SOL) Short-Term Rally Confirmed",2025-04-23T00:01:00Z,u.today,https://cryptopanic.com/news/21251378/XRP-Another-Battle-Incoming-Bitcoins-BTC-Next-Stop-Is-94000-Solana-SOL-Short-Term-Rally-Confirmed?mtm_campaign=API-OFA,0,2025-04-23T00:48:06.215289
"Under-the-Radar Altcoin Flashing Same Setup That Preceded 3,797% Explosion for Chainlink, According to Analyst",2025-04-23T00:00:41Z,dailyhodl.com,https://cryptopanic.com/news/21250878/Under-the-Radar-Altcoin-Flashing-Same-Setup-That-Preceded-3797-Explosion-for-Chainlink-According-to-Analyst?mtm_campaign=API-OFA,0,2025-04-23T00:48:06.215289
Bitcoin's Hard Landing: Central Banks to the Rescue?,2025-04-23T00:00:23Z,youtube.com,https://cryptopanic.com/news/21251683/Bitcoins-Hard-Landing-Central-Banks-to-the-Rescue?mtm_campaign=API-OFA,0,2025-04-23T00:48:06.215289
Bitcoin Cash (BCH) Looks Ready To Climb After A Strong Price Rebound,2025-04-23T00:00:10Z,newsbtc.com,https://cryptopanic.com/news/21250866/Bitcoin-Cash-BCH-Looks-Ready-To-Climb-After-A-Strong-Price-Rebound?mtm_campaign=API-OFA,0,2025-04-23T00:48:06.215289
Bitcoin Mining Game 'Miner Wars' Expands With New Features,2025-04-23T00:31:03Z,decrypt.co,https://cryptopanic.com/news/21251732/Bitcoin-Mining-Game-Miner-Wars-Expands-With-New-Features?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
"Cantor Fitzgerald to build $3B Bitcoin venture in partnership with SoftBank, Tether, and Bitfinex",2025-04-23T00:28:20Z,cryptobriefing.com,https://cryptopanic.com/news/21251713/Cantor-Fitzgerald-to-build-3B-Bitcoin-venture-in-partnership-with-SoftBank-Tether-and-Bitfinex?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
Zora Token Launches Amid U.S.–China Tariff Speculations,2025-04-23T00:21:42Z,coincu.com,https://cryptopanic.com/news/21251706/Zora-Token-Launches-Amid-USChina-Tariff-Speculations?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
"DeFi lending protocols gain $2.3B in TVL, fueling token outperformance",2025-04-23T00:15:45Z,cryptoslate.com,https://cryptopanic.com/news/21251680/DeFi-lending-protocols-gain-23B-in-TVL-fueling-token-outperformance?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
"Australian court rules in favor of crypto lender, dismissing ASIC’s appeal",2025-04-23T00:15:17Z,cryptopolitan.com,https://cryptopanic.com/news/21251682/Australian-court-rules-in-favor-of-crypto-lender-dismissing-ASICs-appeal?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
Solana DEX Meteora Sued Over Alleged Pump-and-Dump Meme Coin Launch,2025-04-23T00:04:23Z,decrypt.co,https://cryptopanic.com/news/21251354/Solana-DEX-Meteora-Sued-Over-Alleged-Pump-and-Dump-Meme-Coin-Launch?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
"XRP: Another Battle Incoming, Bitcoin's (BTC) Next Stop Is $94,000, Solana (SOL) Short-Term Rally Confirmed",2025-04-23T00:01:00Z,u.today,https://cryptopanic.com/news/21251378/XRP-Another-Battle-Incoming-Bitcoins-BTC-Next-Stop-Is-94000-Solana-SOL-Short-Term-Rally-Confirmed?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
"Under-the-Radar Altcoin Flashing Same Setup That Preceded 3,797% Explosion for Chainlink, According to Analyst",2025-04-23T00:00:41Z,dailyhodl.com,https://cryptopanic.com/news/21250878/Under-the-Radar-Altcoin-Flashing-Same-Setup-That-Preceded-3797-Explosion-for-Chainlink-According-to-Analyst?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
Bitcoin's Hard Landing: Central Banks to the Rescue?,2025-04-23T00:00:23Z,youtube.com,https://cryptopanic.com/news/21251683/Bitcoins-Hard-Landing-Central-Banks-to-the-Rescue?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
Bitcoin Cash (BCH) Looks Ready To Climb After A Strong Price Rebound,2025-04-23T00:00:10Z,newsbtc.com,https://cryptopanic.com/news/21250866/Bitcoin-Cash-BCH-Looks-Ready-To-Climb-After-A-Strong-Price-Rebound?mtm_campaign=API-OFA,0,2025-04-23T00:48:34.218156
Bitcoin Mining Game 'Miner Wars' Expands With New Features,2025-04-23T00:31:03Z,decrypt.co,https://cryptopanic.com/news/21251732/Bitcoin-Mining-Game-Miner-Wars-Expands-With-New-Features?mtm_campaign=API-OFA,0,2025-04-23T00:52:40.335672
"Cantor Fitzgerald to build $3B Bitcoin venture in partnership with SoftBank, Tether, and Bitfinex",2025-04-23T00:28:20Z,cryptobriefing.com,https://cryptopanic.com/news/21251713/Cantor-Fitzgerald-to-build-3B-Bitcoin-venture-in-partnership-with-SoftBank-Tether-and-Bitfinex?mtm_campaign=API-OFA,0,2025-04-23T00:52:40.335672
Zora Token Launches Amid U.S.–China Tariff Speculations,2025-04-23T00:21:42Z,coincu.com,https://cryptopanic.com/news/21251706/Zora-Token-Launches-Amid-USChina-Tariff-Speculations?mtm_campaign=API-OFA,0,2025-04-23T00:52:40.335672
"DeFi lending protocols gain $2.3B in TVL, fueling token outperformance",2025-04-23T00:15:45Z,cryptoslate.com,https://cryptopanic.com/news/21251680/DeFi-lending-protocols-gain-23B-in-TVL-fueling-token-outperformance?mtm_campaign=API-OFA,0,2025-04-23T00:52:40.335672
"Australian court rules in favor of crypto lender, dismissing ASIC’s appeal",2025-04-23T00:15:17Z,cryptopolitan.com,https://cryptopanic.com/news/21251682/Australian-court-rules-in-favor-of-crypto-lender-dismissing-ASICs-appeal?mtm_campaign=API-OFA,0,2025-04-23T00:52:40.335672
Trump Hints at Lower Tariffs on China Amid Trade Tensions,2025-04-23T00:52:24Z,coincu.com,https://cryptopanic.com/news/21251770/Trump-Hints-at-Lower-Tariffs-on-China-Amid-Trade-Tensions?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
Bitcoin Mining Game 'Miner Wars' Expands With New Features,2025-04-23T00:31:03Z,decrypt.co,https://cryptopanic.com/news/21251732/Bitcoin-Mining-Game-Miner-Wars-Expands-With-New-Features?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
"Cantor Fitzgerald to build $3B Bitcoin venture in partnership with SoftBank, Tether, and Bitfinex",2025-04-23T00:28:20Z,cryptobriefing.com,https://cryptopanic.com/news/21251713/Cantor-Fitzgerald-to-build-3B-Bitcoin-venture-in-partnership-with-SoftBank-Tether-and-Bitfinex?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
Zora Token Launches Amid U.S.–China Tariff Speculations,2025-04-23T00:21:42Z,coincu.com,https://cryptopanic.com/news/21251706/Zora-Token-Launches-Amid-USChina-Tariff-Speculations?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
"DeFi lending protocols gain $2.3B in TVL, fueling token outperformance",2025-04-23T00:15:45Z,cryptoslate.com,https://cryptopanic.com/news/21251680/DeFi-lending-protocols-gain-23B-in-TVL-fueling-token-outperformance?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
"Australian court rules in favor of crypto lender, dismissing ASIC’s appeal",2025-04-23T00:15:17Z,cryptopolitan.com,https://cryptopanic.com/news/21251682/Australian-court-rules-in-favor-of-crypto-lender-dismissing-ASICs-appeal?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
